period,respondent,respondent-name,type,type-name,value,value-units
2023-12-24T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43710,megawatthours
2023-12-24T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42767,megawatthours
2023-12-24T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41833,megawatthours
2023-12-24T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39831,megawatthours
2023-12-24T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38369,megawatthours
2023-12-24T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37161,megawatthours
2023-12-24T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36340,megawatthours
2023-12-24T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36305,megawatthours
2023-12-24T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36690,megawatthours
2023-12-24T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37182,megawatthours
2023-12-24T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38330,megawatthours
2023-12-24T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39599,megawatthours
2023-12-24T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41269,megawatthours
2023-12-24T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42801,megawatthours
2023-12-24T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44123,megawatthours
2023-12-24T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44744,megawatthours
2023-12-24T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45200,megawatthours
2023-12-24T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45568,megawatthours
2023-12-24T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45138,megawatthours
2023-12-23T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44147,megawatthours
2023-12-23T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43943,megawatthours
2023-12-23T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44105,megawatthours
2023-12-23T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44048,megawatthours
2023-12-23T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44080,megawatthours
2023-12-23T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44047,megawatthours
2023-12-23T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43635,megawatthours
2023-12-23T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42580,megawatthours
2023-12-23T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40908,megawatthours
2023-12-23T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39362,megawatthours
2023-12-23T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38182,megawatthours
2023-12-23T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37289,megawatthours
2023-12-23T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36842,megawatthours
2023-12-23T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,36941,megawatthours
2023-12-23T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37584,megawatthours
2023-12-23T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38491,megawatthours
2023-12-23T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39705,megawatthours
2023-12-23T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41233,megawatthours
2023-12-23T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42766,megawatthours
2023-12-23T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43861,megawatthours
2023-12-23T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44671,megawatthours
2023-12-23T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45472,megawatthours
2023-12-23T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46220,megawatthours
2023-12-23T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45538,megawatthours
2023-12-22T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44235,megawatthours
2023-12-22T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44148,megawatthours
2023-12-22T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44211,megawatthours
2023-12-22T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44555,megawatthours
2023-12-22T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44607,megawatthours
2023-12-22T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44786,megawatthours
2023-12-22T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44887,megawatthours
2023-12-22T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44492,megawatthours
2023-12-22T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43616,megawatthours
2023-12-22T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42589,megawatthours
2023-12-22T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,40906,megawatthours
2023-12-22T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39063,megawatthours
2023-12-22T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37940,megawatthours
2023-12-22T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37591,megawatthours
2023-12-22T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37740,megawatthours
2023-12-22T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38455,megawatthours
2023-12-22T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39623,megawatthours
2023-12-22T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41261,megawatthours
2023-12-22T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43413,megawatthours
2023-12-22T04,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45286,megawatthours
2023-12-22T03,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46372,megawatthours
2023-12-22T02,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47018,megawatthours
2023-12-22T01,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47849,megawatthours
2023-12-22T00,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,47042,megawatthours
2023-12-21T23,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45761,megawatthours
2023-12-21T22,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45671,megawatthours
2023-12-21T21,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45887,megawatthours
2023-12-21T20,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46046,megawatthours
2023-12-21T19,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46061,megawatthours
2023-12-21T18,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,46002,megawatthours
2023-12-21T17,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45820,megawatthours
2023-12-21T16,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,45526,megawatthours
2023-12-21T15,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44736,megawatthours
2023-12-21T14,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,44046,megawatthours
2023-12-21T13,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,42251,megawatthours
2023-12-21T12,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39826,megawatthours
2023-12-21T11,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38351,megawatthours
2023-12-21T10,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,37904,megawatthours
2023-12-21T09,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38118,megawatthours
2023-12-21T08,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,38624,megawatthours
2023-12-21T07,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,39688,megawatthours
2023-12-21T06,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,41576,megawatthours
2023-12-21T05,ERCO,"Electric Reliability Council of Texas, Inc.",D,Demand,43895,megawatthours
